final_text,label
tidak adanya dokter pengganti saat dokter spesialis cuti hari kerja kronologi kejadian tanggal desember pukul wib pasien datang ke igd membawa hasil rontgen dari rs pakuwon alasan pindah dari rs pakuwon ke rsud sumedang karena dari orthopedi di rs pakuwon tidak ada sebelumnya pasien pernah dibawa ke ahli tulang tidak dilakukan tindakan apa apa oleh ahli tulang hanya dioles minyak dan dibungkus plastik wrap kondisi dari hasil rontgen tangan patah ada dokter laki laki yang jaga pagi di igd sangat tidak humanis berkata yang menyakiti hati pasien dan keluarga pasien tidak ada kode etik ari geus dibawa ka dokter kampung geus buruk karek dibawa kadieu kondisi pasien ada luka dalam kenapa tidak direkomendasikan dulu ke dokter bedah ada pembiaran merujuk ke mal praktek pasien datang ke igd dengan jaminan bpjs keluarga pasien meminta di rujuk ke rs di bandung ditolak igd tidak diberi rujukan lalu keluarga pasien meminta pasien dirujuk ke rs al islam sebagai pasien umum disurat rujukan hanya tertulis pasien jatuh sudah berobat ke dokter kampung tidak ada catatan dari spesialis orthopedi cuti rujukan tidak diterima oleh rs al islam disuruh pulang rujukan tidak jelas keluarga pasien diarahkan untuk berobat ke poli orthopedi pada tanggal desember dari spesialis ortopedi masih cuti sampai tanggal desember pasien berobat ke poli orthopedi tanpa diberi obat keluarga pasien yang meminta obat kepada dokter yang periksa pasien di rujuk ke rs al islam di rs bandung bertanya kenapa baru dirujuk sekarang jadi tidak mau ambil resiko ambil tindakanpengaduan keluraga pasien indikasi ada pelanggaran secara administrasi terkait sop kalau ada dokter spesialis cuti lebih dari hari harus ada dokter pengganti ini cuti hari kerja tidak ada dokter pengganti pelayanan igd tidak humanis ada kata kata yang tidak enak dari dokter jaga igd yang dinas pagi punten kaji lagi untuk diagnosanya seandainya masih bisa ditangani di rsud sumedang lebih baik jangan sampai rs yang lain jadi ada masalah kedepannya,HIGH
tentang penerbittan nuptk siang min izin melapor terkait nuptk yang saya sudah di setuji oleh dinas tinggal nunggu di approve oleh yayasan jadi belum bisa terbit nuptknya itu bagaimana ya npyp ax nama yayasan cahaya bakti adinda kabupaten sumedang,LOW
bayar parkir di pinggir jalan kota sumedang tidak berkarcis hampir di sepanjang pinggir jalan kota sumedang kendaraan bermotor yang parkir meski sekedar untuk berbelanja di warung sebentar dimintai uang parkir oleh petugas berseragam parkir namun saya tidak pernah mendapatkan tanda pembayaran parkir karcis dari petugas tersebut apakah petugas petugas parkir tersebut legal jika legal kenapa setelah saya membayar pakir tidak diberi karcis parkir jika petugas tersebut ilegal mohon untuk ditertibkan oleh instansi terkait sehingga kota sumedang bisa bebas dari petugas petugas parkir liar apakah parkir berlanggaran masih berlaku dan bisa diperpanjang di tahun ini untuk mencegah parkir liar parkir berlangganan bisa menjadi salah satu solusi namun kekurangannya parkir berlangganan hanya berlaku di area parkir tertentu sehingga masih membuka celah untuk adanya petugas parkir liar untuk itu apakah bisa parkir berlangganan itu diberlakukan untuk seluruh area pinggir jalan di kabupaten sumedang kecuali untuk tempat tertentu yang melakukan pengelolaan parkir mandiri dan setor ke pemda saya sebagai warga sangat tidak berkeberatan untuk membayar retribusi parkir asalkan itu legal dan benar masuk ke kas daerah namun saya sangat keberatan jika apa yang saya berikan hanya untuk kepentingan individu atau kelompok tertentu,MEDIUM
informasi bibit ayam assalamualaikum izin bertanya apakah di dinas perikanan dan peternakan sumedang ada bibit ayam kub,LOW
informasi bantuan perikanan info bantuan dana perikanan,LOW
trotoar rusak trotoar rusak membahayakan pejalan kaki berpotensi masuk gorong gorong jalan raya cirebon bandung hegarmanah kec jatinangor kabupaten sumedang jawa barat,HIGH
tpt ambruk encana tpt rumah sepanjang meter tinggi meter menimpa rumah edo umur tahun tpt yang longsor atas nama ajat umur tahun alamat dusun cimacan rukun tetangga rukun warga desa kec rancakalong tidak ada korban jiwa kronologi kejadian akibat hujan besar tpt tidak bisa menahan beban karena kondinya sudah lapuk,HIGH
jam kerja dinas perikanan dan peternakan min kalo hari ini libur tidak dinas peternakan,LOW
permintaan publikasi data terkait pertanian di kabupaten sumedang datanya mohon di publish bapak di website terkait pertanian di kabupaten sumedang,LOW
pembelian bibit ikan dipalih dieu icalan bibit lauk,LOW
nomor induk berusaha saya merasa kesulitan ketika akan membuat nib mohon bantuan arahannya yang jelasnya seperti apa dan harus kemana membuat nya,LOW
informasi layanan kesehatan hewan maaf mau tanya biaya pengobatan hewan,LOW
blt kesra assalamualaikum bpk ibu yang ter saya mau bertanya kapan yah blt kesra tahap selanjutnya dibagikan saya mendapatkan bantuan tersebut namun status masih si katanya akan disalurkan secepatnya oleh pihak posnya,LOW
pembelian bibit ikan untuk mencari bibit ini kalau mau beli kmn,LOW
harga pelayanan kesehatan apkah gratis pelayanan kesehatan ternak,LOW
orang gantung diri telah terjadi orang gantung diri atas nama cece umur tahun tkp rukun tetangga dusun babakan alamat orang tersebut dusun ciledug rukun tetangga kejadian sekitar pukul wib monitip kejadian bunuh karena mengidap penyakit,MEDIUM
longsor di cikalong segmen babakan sukasari ds kertamekar kec tanjungkerta pada juli pukul wib bertempat di cikalong segmen babakan sukasari ds kertamekar kec tanjungkerta pada saat itu turun hujan dengan intensitas tinggi mengakibatkan debit air di saluran irigasi meningkat dan meluap sehingga tpt irigasi roboh karena tidak kuat menahan debit air dan kondisi tpt sudah tua selain itu aliran air ke wilayah babakan sukasari dan sukasari tidak dapat teraliri air terputus,HIGH
jalan desa mengalami amblas dan belum mendapat perbaikan selama tahun jalan cibenda di desa raharja kecamatan tanjungsari rukun warga sudah mengalami kerusakan dan selama kurang lebih tahun hingga saat ini belum pernah dilakukan perbaikan kondisi jalan semakin memburuk dengan terjadinya amblas di dua titik di lokasi tersebut terdapat selokan di bawah badan jalan yang menyebabkan struktur tanah menjadi tidak stabil sehingga jalan amblas kondisi ini dikhawatirkan akan meluas dan menyebabkan seluruh badan jalan ikut amblas apabila tidak segera ditangani kerusakan jalan ini sangat mengganggu aktivitas dan keselamatan warga yang melintas setiap hari oleh karena itu kami berharap pemerintah terkait dapat segera melakukan peninjauan dan perbaikan agar tidak menimbulkan risiko yang lebih besar di kemudian hari,HIGH
permintaan informasi terkait dokumen rpjmd hallo kak apakah dokumen rpjmd tahun ini tidak di publish,LOW
lampu pju mati sudah malam lampu di lingkungan margajaya padam,MEDIUM
permohonan penebangan pohon berdasarkan permohonan dari warga dan adanya kejadian patahnya dahan pohon yang menimpa rumah warga atas nama bapak yono suryono da bapak sutjinta yang berlokasi di pinggir sungai cipeles lingkungan talun tengah rukun tetangga rukun warga kelurahan talun dan menimbulkan kerusakan pada atap rumah maka dengan ini kami mengajukan permohonan penebangan pohon yang ada di lokasi sekitar kejadian tersebut guna mencegah hal hal yang tidak diinginkan di kemudian hari adapun jenis pohon yang dimaksud adalah pohon loa,HIGH
permintaan konfirmasi dari wartawan media masa radar sumedang rs an tribuana terkait tindaklanjut terhadap warga terdampak bencana longsor di desa cisalak kecamatan cisarua kabupaten sumedang minta konfirmasi sampai sejauh mana tindaklanjut dari pemerintah kecamatan cisarua terhadap warga terdampak bencana longsor di desa cisalak kecamatan cisarua kabupaten sumedang,LOW
peningkatan perlindungan anak dan pemberdayaan perempuan di tingkat desa kami berharap perempuan lebih berdaya anak anak lebih terlindungi dan keluarga menjadi lebih kuat serta sejahtera,LOW
longsor telah terjadi longsor tebing di dusun cikuray desa sukasirnarasa pada tanggal oktober,HIGH
jalan provinsi berlubang saya mengalami hampir kecelakaan karena ada lubang di daerah pangeran kornel sumedang lubang nya dalam bisa membuat celaka mohon segera di perbaiki untuk keselamatan bersama terimakasih,HIGH
banjir di perumahan ikopin blok e rukun tetangga rukun warga desa sayang jatinangor mohon bantuan bapak donny perumahan kami sering mengalami kebanjiran pada saat hujan hal hal yang telah kami upayakan alternatif pembuangan air sudah kami upayakan menggunakan mesin pompa tapi tidak maksimal karena lokasi kami berada di paling ujung sehingga menjadi pembungan terakhir laporan ke rukun tetangga dan rukun warga sudah kami sampaikan tapi belum ada realisasi karena menunggu anggaran sedangkan banjir tidak bisa menunggu sampai,MEDIUM
diskriminasi batal phk mitasi merugikan karyawan yth dinas ketenagakerjaan kabupaten sumedang selatan saya seorang karyawan arta aboga cemerlang cabang sumedang dengan masa kerja bulan saya bermaksud ingin mendapatkan bantuan mengenai masalah ketenagakerjaan yang saya alami pada hari sabtu november saya menerima teguran keras disertai bentakan dengan perkataan tidak menyenangkan dari atasan dikarnakan saya sakit hari tidak masuk kerja tetapi tidak ada surat dokter dikarenakan alasan kendaraan saya disimpan dikantor tidak ada yang mengantar saya untuk berobat saya sudah memberikan kabar ketidak hadiran saya kepada atasan dan alasan saya tidak diterima padahal jika tidak ada surat keterangan dipotong gaji juga pada hari itu saya masuk kerja menggunakan angkutan umum dan setelah datang ke kantor malah dimarahi dan dimaki maki dengan perkataan bangsat jujur saya tidak terima dengan perkataan tersebut karna selama saya bekerja belum pernah melakukan pencurian aset perusahaan selain itu atasan saya juga melontarkan perkataan saya diberhentikan dan disuruh agar berhenti sejak itu juga pada saat itu banyak rekan yang lain juga melihat saya di marahi dengan perkataan kasar nada tinggi dan perkataan dikeluarkan dari kejadian tersebut saya berkonsultasi ke pihak hrd namun hrd menyuruh saya masuk seperti biasa akan tetapi atasan saya bersikeras agar saya dikeluarkan pada hari senin november saya diberikan sp sekaligus oleh atasan dengan tanggal yang berbeda beda dan sp diberikan asal dan mengira ngira jelas hal tersebut tidak sesuai dengan ketentuan ketenagakerjaan juga tidak diberikan salunan sp sesuai ketentuan harus play untuk arsip perusahaan untuk karyawan dan untuk disnaker pada hari selasa november saya menerima surat panggilan dari hrd untuk hadir ke kantor pusat pada hari rabu dan hari rabu november saya memenuhi panggilan hrd datang ke kantor pusat disana saya ditanyai kenapa saya sampai dipanggil dan saya menjawab karna saya tidak hadir kerja jari tidak ada surat keterangan disana hrd menanyakan tentang niat kerja saya saya jawab saya niat namun ketika sakit ya saya sakit cuma kendala waktu itu perihal surat kemudian hrd menyuruh saya untuk membuat surat pernyataan agar saya tidak mengulangi hal tersebut seperti terlambat dan izin harus ada keterangan jelas dan apabila saya melanggar saya harus bersedia mengundurkan diri karna hrd menjanjikan saya tetap bekerja di cabang sumedang seperti biasanya saya membuat surat komitmen tersebut pada hari kamis november saya menjelaskan kembali kepada atasan mengenai pemanggilan kemarin namun atasan kekeh tidak mau terima dan tetap ingin saya berhenti pada hari tersebut juga hrd datang ke sumedang dan saya meminta agar berunding bertiga bersama atasan dan saat itu atasan menerima namun atasan mengelak bahwa bliau memberhentikan saya dan malah menuduh saya ingin keluar sendiri dengan bukti yang ada saya jelaskan kembali dengan saksi teman se tim mereka diberitahu atasan jika saya dikeluarkan oleh bliau dan hari iri saya bekerja seperti biasa pada hari jumat november saya masuk seperti biasa namun atasan tidak memberikan tugas kepada saya dan kembali menekankan bahwa saya tidak dianggap dalam tim dan saya kembali menuruti lata hrd agar masuk seperti biasa menyelesaikan jam kerja normal pada senin november kembali saya masuk seperti biasa dan masih tetap tidak diberikan tugas walaupun pada saat itu tugas dari pihak admin sudah saya tandatangani namun atasan tidak mau acc dan tugan tersebut saya kembalikan kepada admin hari itu saya kembali melapir kepada hrd namun hrd meminta saya menunggu keputusan selanjutnya dan di hari berikutnya saya kembali dihubungi hrd dengan tujuan hrd me mutasi atau memindahkan saya ke cabang garut dari sini saya merasa di diskriminasi karna setelah mengikuti semua proses tudak menemukan titik terang dan malah merugikan saya bebagai pekerja dan hari ini saya meminta bantuan dari pihak dinas ketenagakerjaan untuk penyelesaian nya apakah saya phk atau malah resigrn yang dipaksakan oleh perusahaan selain itu juga ijazah saya masih tersimpan di perusahaan sebagai jaminan saya menympan bukti dan arsip catatan saya sesuai kejadian yang saya alami,LOW
gelar terakhir belum tercantum pada sk kenaikan pangkat periode oktober pada dokumen surat keputusan sk kenaikan pangkat periode oktober ditemukan bahwa gelar terakhir pegawai yang bersangkutan belum tercantum hal ini menyebabkan data pada sk tidak sepenuhnya mencerminkan identitas terbaru pegawai khususnya terkait perubahan atau penambahan gelar akademik yang telah disahkan sebelumnya kondisi ini berpotensi menimbulkan ketidaksesuaian antara data administratif dan dokumen resmi kepegawaian yang bersangkutan,LOW
informasi kejadian longsor untuk diinformasikan kepada pihak desa dan camat telah terjadi longsor,HIGH
proses phk belum ditindaklanjuti oleh hrd ijazah ditahan proses ditunda tunda oleh hrd tanpa keterangan jelas assalamualaikum wr wb yang ter dinas tenaga kerja kabupaten sumedang yang ter bapak dedi mulyadi terkait laporan saya bulan november tentang phk dan diskriminasi oleh atasan dan hrd pt arta boga cemerlang cabang sumedang laporan bulan november memang sudah diproses oleh dinas ketenagakerjaan kabupaten sumedang dan telah dilakukan ptoses pemanggilan dan klarifikasi dari pihak perusahaan hasil dari proses tersebut sudah disepakati bersama dan secara lisan di hadapan dinas ketenagakerjaan hrd berjanji akan melakukan proses phk dan memberikan hak hak karyawan sesuai perundang undangan yang berlaku namun hingga saat ini masih belum ada tindak lanjut dari hrd sedangkan saya sudah tidak dipekerjakan di perusahaan tersebut sehingga tidak memiliki pemasukan dan mendapatkan gaji tetapi status karyawan saya masih aktif selain itu ijazah saya ditahan ketika saya menanyakan kepada hrd jawabannya sama terus hrd hanya bisa menjawab baik bapak sedang dirpses oleh manager hrd tetapi sudah hampir bulan tidak ada kejelasan maka dari itu saya membuat laporan kembali karna permasalahan belum mendapatkan penyelesaian saya memohon agar bisa dibantu ditengahi kembali terkait pembuatan perjanjian surat perjanjian bersama phk dan pembayaran hak hak karyawan di atas materai pengembalian ijazah asli dengan ini saya memohon bantuannya kembali kepada pihak pihak yang berwenang wassalamualaikum wr wb,LOW
keluhan perbaikan ktp warga desa sukamaju sekaligus perangkat bpd sukamaju mengeluhkan perbaikan ktp yang dinilai kurang tanggap dari pihak terkait din utarakanm melqalui media sosial facebook,LOW
