judul,isi_laporan,info,link,clean_text,judul_clean,final_text,label,low,med,high
Dugaan Mal Administrasi Atas Hak Tanah Kami Yang Tersandera Kebijakan Ipp/Kpps,"Selamat siang,
kepada inspektorat Kabupaten Sumedang.

Saya sawalludin, 54 th, alamat vila ciomas indah g4 no 2 ciomas rahayu, ciomas, bogot 16610 hp 081381195050. Bermaksud meminta tolong kepada inspektorat Kab. Sumedang atas dugaan mal administrasi, penundaan berlarut, pelayanan publik yang kurang baik, dimana sampai saat ini masih ada hak tanah kami yang tersandera kebijakan ipp/ kpps (kawasan pusat pemerintahan sumedang) dan ini sudah lebih 20 an tahun. Kerugian bukan saja materiil tetapi juga immateriil, sudah ada rekomendasi dari komnas ham th 2011 dan ada surat pernyataan bersama Ombudsman dimana akan disegerakan pembebasan lahan tersebut. Pada maret 2023 sudah ada berita acara soal pembebasan lahan pada juli 2023 saat ada pertemuan antara perwakilan pemilik lahan dan dinas permukiman Sumedang, tapi setalah sudah masuk bulan juli 2023 setiap ditanyakan soal pembebasan lahan tersebut pak Bupati dan jajarannya tidak menjawab dengan kepastian?","  RABU, 2003/12/31 |   PERTANAHAN |   LAPORAN 17 KALI DILIHAT",https://www.lapor.go.id/laporan/detil/dugaan-mal-administrasi-atas-hak-tanah-kami-yang-tersandera-kebijakan-ipp-kpps-202307271511421690445502365,selamat siang kepada inspektorat kabupaten sumedang saya sawalludin th alamat vila ciomas indah g no ciomas rahayu ciomas bogot hp bermaksud meminta tolong kepada inspektorat kab sumedang atas dugaan mal administrasi penundaan berlarut pelayanan publik yang kurang baik dimana sampai saat ini masih ada hak tanah kami yang tersandera kebijakan ipp kpps kawasan pusat pemerintahan sumedang dan ini sudah lebih an tahun kerugian bukan saja materiil tetapi juga immateriil sudah ada rekomendasi dari komnas ham th dan ada surat pernyataan bersama ombudsman dimana akan disegerakan pembebasan lahan tersebut pada maret sudah ada berita acara soal pembebasan lahan pada juli saat ada pertemuan antara perwakilan pemilik lahan dan dinas permukiman sumedang tapi setalah sudah masuk bulan juli setiap ditanyakan soal pembebasan lahan tersebut bapak bupati dan jajarannya tidak menjawab dengan kepastian,dugaan mal administrasi atas hak tanah kami yang tersandera kebijakan ipp kpps,dugaan mal administrasi atas hak tanah kami yang tersandera kebijakan ipp kpps selamat siang kepada inspektorat kabupaten sumedang saya sawalludin th alamat vila ciomas indah g no ciomas rahayu ciomas bogot hp bermaksud meminta tolong kepada inspektorat kab sumedang atas dugaan mal administrasi penundaan berlarut pelayanan publik yang kurang baik dimana sampai saat ini masih ada hak tanah kami yang tersandera kebijakan ipp kpps kawasan pusat pemerintahan sumedang dan ini sudah lebih an tahun kerugian bukan saja materiil tetapi juga immateriil sudah ada rekomendasi dari komnas ham th dan ada surat pernyataan bersama ombudsman dimana akan disegerakan pembebasan lahan tersebut pada maret sudah ada berita acara soal pembebasan lahan pada juli saat ada pertemuan antara perwakilan pemilik lahan dan dinas permukiman sumedang tapi setalah sudah masuk bulan juli setiap ditanyakan soal pembebasan lahan tersebut bapak bupati dan jajarannya tidak menjawab dengan kepastian,MEDIUM,,,
Hari Libur Kenapa D Puskesmas Tidak Ada Dr. Jaga,"Assalamualaikum wr.wb ini kenapa ya kalau hari libur,tidak ada dr yg jaga di puskesmas, hanya by phone saja., apakah prosedur nya seperti itu.?
lokasi kejadian kab. sumedang buahdua buahdua puskesmas buahdua
aduan ini menjadi kewenangan pemerintah kabupaten sumedang",LAINNYA TERKAIT KESEHATAN |   LAPORAN 11 KALI DILIHAT,https://www.lapor.go.id/laporan/detil/hari-libur-kenapa-d-puskesmas-tidak-ada-dr-jaga-202506121411211749712281895,assalamualaikum wr wb ini kenapa ya kalau hari libur tidak ada dari yang jaga di puskesmas hanya by phone saja apakah prosedur nya seperti itu lokasi kejadian kab sumedang buahdua buahdua puskesmas buahdua aduan ini menjadi kewenangan pemerintah kabupaten sumedang,hari libur kenapa d puskesmas tidak ada dari jaga,hari libur kenapa d puskesmas tidak ada dari jaga assalamualaikum wr wb ini kenapa ya kalau hari libur tidak ada dari yang jaga di puskesmas hanya by phone saja apakah prosedur nya seperti itu lokasi kejadian kab sumedang buahdua buahdua puskesmas buahdua aduan ini menjadi kewenangan pemerintah kabupaten sumedang,MEDIUM,,,
Pelayanan Kesehatan Hewan,"Halooo, untuk steril kucing jantan berapa yaaaa?",,https://www.lapor.go.id/laporan/detil/pelayanan-kesehatan-hewan-202510080820461759886446424,haloo untuk steril kucing jantan berapa yaa,pelayanan kesehatan hewan,pelayanan kesehatan hewan haloo untuk steril kucing jantan berapa yaa,LOW,,,
Pembukaan Kembali Tambang Pasir Tanah Desa Naluk,"Kepada yth. gubernur jawa barat bupati sumedang perihal:aduan pembukaan kembali galian c tanpa sosialisasi kami, warga desa naluk, kecamatan cimalaka, kabupaten sumedang, menyampaikan aduan terkait pembukaan kembali galian c (penambangan pasir) di tanah milik desa naluk tanpa sosialisasi atau pemberitahuan kepada masyarakat. berikut poin keluhan kami: 1.proses tidak transparan izin proyek diberikan tiba-tiba tanpa dialog atau pemberitahuan resmi, menimbulkan keresahan warga. 2. dampak lingkungan aktivitas berpotensi merusak ekosistem dan lingkungan sekitar. 3. klaim tidak jelas pihak desa menyatakan ada surat perintah dari gubernur, namun hal ini belum dikonfirmasi keabsahannya. 4. tidak selaras program pemprov kebijakan ini bertentangan dengan komitmen pelestarian lingkungan gubernur jawa barat. 5.potensi konflik sosial permohonan kami: 1. penghentian kegiatan galian c 2. reboisasi lahan bekas tambang. 3. dialog terbuka melibatkan warga

lokasi kejadian kab. sumedang cimalaka naluk detail lokasi kejadian lokasi galian c desa naluk di kaki gunung tampomas
aduan ini menjadi kewenangan pemerintah daerah kabupaten sumedang","  MINGGU, 2025/06/01 |   PERTAMBANGAN |   LAPORAN 11 KALI DILIHAT",https://www.lapor.go.id/laporan/detil/pembukaan-kembali-tambang-pasir-tanah-desa-naluk-202506251545491750841149310,kepada yth gubernur jawa barat bupati sumedang perihal aduan pembukaan kembali galian c tanpa sosialisasi kami warga desa naluk kecamatan cimalaka kabupaten sumedang menyampaikan aduan terkait pembukaan kembali galian c penambangan pasir di tanah milik desa naluk tanpa sosialisasi atau pemberitahuan kepada masyarakat berikut poin keluhan kami proses tidak transparan izin proyek diberikan tiba tiba tanpa dialog atau pemberitahuan resmi menimbulkan keresahan warga dampak lingkungan aktivitas berpotensi merusak ekosistem dan lingkungan sekitar klaim tidak jelas pihak desa menyatakan ada surat perintah dari gubernur namun hal ini belum dikonfirmasi keabsahannya tidak selaras program pemprov kebijakan ini bertentangan dengan komitmen pelestarian lingkungan gubernur jawa barat potensi konflik sosial permohonan kami penghentian kegiatan galian c reboisasi lahan bekas tambang dialog terbuka melibatkan warga lokasi kejadian kab sumedang cimalaka naluk detail lokasi kejadian lokasi galian c desa naluk di kaki gunung tampomas aduan ini menjadi kewenangan pemerintah daerah kabupaten sumedang,pembukaan kembali tambang pasir tanah desa naluk,pembukaan kembali tambang pasir tanah desa naluk kepada yth gubernur jawa barat bupati sumedang perihal aduan pembukaan kembali galian c tanpa sosialisasi kami warga desa naluk kecamatan cimalaka kabupaten sumedang menyampaikan aduan terkait pembukaan kembali galian c penambangan pasir di tanah milik desa naluk tanpa sosialisasi atau pemberitahuan kepada masyarakat berikut poin keluhan kami proses tidak transparan izin proyek diberikan tiba tiba tanpa dialog atau pemberitahuan resmi menimbulkan keresahan warga dampak lingkungan aktivitas berpotensi merusak ekosistem dan lingkungan sekitar klaim tidak jelas pihak desa menyatakan ada surat perintah dari gubernur namun hal ini belum dikonfirmasi keabsahannya tidak selaras program pemprov kebijakan ini bertentangan dengan komitmen pelestarian lingkungan gubernur jawa barat potensi konflik sosial permohonan kami penghentian kegiatan galian c reboisasi lahan bekas tambang dialog terbuka melibatkan warga lokasi kejadian kab sumedang cimalaka naluk detail lokasi kejadian lokasi galian c desa naluk di kaki gunung tampomas aduan ini menjadi kewenangan pemerintah daerah kabupaten sumedang,HIGH,,,
Lubang Di Jalan Terlalu Lebar,"Selamat siang menyampaikan bahwa jalan yg menghubungkan Kecamatan Conggeang dan Kecamatan Ujungjaya Kabupaten Sumedang mengalami berlubang terlalu besar, Lokasi Kejadian [KABUPATEN SUMEDANG] | [CONGGEANG] | [UNGKAL] | [Ungkal Conggeang Sumedang]","  KAMIS, 2024/10/10 |   INFRASTRUKTUR JALAN |   LAPORAN 2 KALI DILIHAT",https://www.lapor.go.id/laporan/detil/lubang-di-jalan-terlalu-lebar-202410140944161728873856884,selamat siang menyampaikan bahwa jalan yang menghubungkan kecamatan conggeang dan kecamatan ujungjaya kabupaten sumedang mengalami berlubang terlalu besar lokasi kejadian kabupaten sumedang conggeang ungkal ungkal conggeang sumedang,lubang di jalan terlalu lebar,lubang di jalan terlalu lebar selamat siang menyampaikan bahwa jalan yang menghubungkan kecamatan conggeang dan kecamatan ujungjaya kabupaten sumedang mengalami berlubang terlalu besar lokasi kejadian kabupaten sumedang conggeang ungkal ungkal conggeang sumedang,HIGH,,,
Bansos,Bansos tidak cair,BANTUAN SOSIAL |   LAPORAN 6 KALI DILIHAT,https://www.lapor.go.id/laporan/detil/bansos-202308311244261693460666419,bansos tidak cair,bansos,bansos bansos tidak cair,LOW,,,
Longsor,"Udah 3 bulan belum ada tindak lanjut nya, cuman janji janji terus d kerjain mh engga, ini gimana klo rakyat kecil yang lapor susah untuk di tanggapi nya coba kalo yang lapor nya orang orang yg berada pasti langsung di tanggapi.",PENANGGULANGAN BENCANA |   LAPORAN 43 KALI DILIHAT,https://www.lapor.go.id/laporan/detil/longsor-202308221155171692680117243,udah bulan belum ada tindak lanjut nya cuman janji janji terus d kerjain mh engga ini gimana klo rakyat kecil yang lapor susah untuk di tanggapi nya coba kalo yang lapor nya orang orang yang berada pasti langsung di tanggapi,longsor,longsor udah bulan belum ada tindak lanjut nya cuman janji janji terus d kerjain mh engga ini gimana klo rakyat kecil yang lapor susah untuk di tanggapi nya coba kalo yang lapor nya orang orang yang berada pasti langsung di tanggapi,HIGH,,,
Jalan Rusak Sepanjang Jalan Sukamantri Jingkang Kabupaten Sumedang Kecamatan Tanjungmedar,"Jln rusak sepanjang pasirhuni sampai jingkang kecamatan tanjungmedar kabupaten sumedang

lokasi kejadian: kabupaten sumedang tanjungmedar jingkang sepanjang jalan pasir huni jingkang jalan rusak",JALAN BERLUBANG |   LAPORAN 4 KALI DILIHAT,https://www.lapor.go.id/laporan/detil/jalan-rusak-sepanjang-jalan-sukamantri-jingkang-kabupaten-sumedang-kecamatan-tanjungmedar-202503261345401742971540353,jalan rusak sepanjang pasirhuni sampai jingkang kecamatan tanjungmedar kabupaten sumedang lokasi kejadian kabupaten sumedang tanjungmedar jingkang sepanjang jalan pasir huni jingkang jalan rusak,jalan rusak sepanjang jalan sukamantri jingkang kabupaten sumedang kecamatan tanjungmedar,jalan rusak sepanjang jalan sukamantri jingkang kabupaten sumedang kecamatan tanjungmedar jalan rusak sepanjang pasirhuni sampai jingkang kecamatan tanjungmedar kabupaten sumedang lokasi kejadian kabupaten sumedang tanjungmedar jingkang sepanjang jalan pasir huni jingkang jalan rusak,HIGH,,,
Rumah Subsidi El Hago Tanjungsari,"Kepada kementrian pupr tolong bantu masyarakat yg membeli rumah subsidi di perumahan el hago residence kec. pamulihan kab tanjungsari. pihak developer ugal2an dalam melakukan pembangunan. rumah dikerjakan dengan asal dan juga parahnya air sangat sulit, benar2 tidak keluar dari kran air. ini cukup parah warga sudah resah. tolong kiranya bisa ditegur pihak developer sebelum warga up kondisi rumah subsidi ini ke publik. terimakasih","  RABU, 2023/05/31 |   PERMUKIMAN |   LAPORAN 2 KALI DILIHAT",https://www.lapor.go.id/laporan/detil/rumah-subsidi-el-hago-tanjungsari-202306012010471685625047949,kepada kementrian pupr tolong bantu masyarakat yang membeli rumah subsidi di perumahan el hago residence kec pamulihan kab tanjungsari pihak developer ugalan dalam melakukan pembangunan rumah dikerjakan dengan asal dan juga parahnya air sangat sulit benar tidak keluar dari kran air ini cukup parah warga sudah resah tolong kiranya bisa ditegur pihak developer sebelum warga up kondisi rumah subsidi ini ke publik terimakasih,rumah subsidi el hago tanjungsari,rumah subsidi el hago tanjungsari kepada kementrian pupr tolong bantu masyarakat yang membeli rumah subsidi di perumahan el hago residence kec pamulihan kab tanjungsari pihak developer ugalan dalam melakukan pembangunan rumah dikerjakan dengan asal dan juga parahnya air sangat sulit benar tidak keluar dari kran air ini cukup parah warga sudah resah tolong kiranya bisa ditegur pihak developer sebelum warga up kondisi rumah subsidi ini ke publik terimakasih,MEDIUM,,,
Pungli Di Sdn Santaka Ds.mangunarga Kec. Cimanggung Kab. Sumedang,Pungutan uang kas yang di adakan dikelas...dan orangtua wali juga harus bayar uang kas 10000/ bulan / orangtua wali..dan murid sendiri 2000/minggu...dan perihal dengan buang kas tersebut kepala sekolah juga ikut mendukung uang kas...tolong dengan sangat...kepada yang berwenang sidak...atau tindak lanjuti... karena itu termasuk pungli karena kementrian tidak menyarankan kan adanya pungli dan ada ancaman dari guru kalau ada yang protes anak murid yang bersangkutan di tandai,"  RABU, 2024/08/07 |   NOMOR UNIK PENDIDIK DAN TENAGA KEPENDIDIKAN (NUPTK) |   LAPORAN 1 KALI DILIHAT",https://www.lapor.go.id/laporan/detil/pungli-di-sdn-santaka-ds-mangunarga-kec-cimanggung-kab-sumedang-202408071056361723002996391,pungutan uang kas yang di adakan dikelas dan orangtua wali juga harus bayar uang kas bulan orangtua wali dan murid sendiri minggu dan perihal dengan buang kas tersebut kepala sekolah juga ikut mendukung uang kas tolong dengan sangat kepada yang berwenang sidak atau tindak lanjuti karena itu termasuk pungli karena kementrian tidak menyarankan kan adanya pungli dan ada ancaman dari guru kalau ada yang protes anak murid yang bersangkutan di tandai,pungli di sdn santaka ds mangunarga kec cimanggung kab sumedang,pungli di sdn santaka ds mangunarga kec cimanggung kab sumedang pungutan uang kas yang di adakan dikelas dan orangtua wali juga harus bayar uang kas bulan orangtua wali dan murid sendiri minggu dan perihal dengan buang kas tersebut kepala sekolah juga ikut mendukung uang kas tolong dengan sangat kepada yang berwenang sidak atau tindak lanjuti karena itu termasuk pungli karena kementrian tidak menyarankan kan adanya pungli dan ada ancaman dari guru kalau ada yang protes anak murid yang bersangkutan di tandai,MEDIUM,,,
Daftar Online Kua,"Kak mohon izin menyampaikan dan menjelaskan. untun 27 agustus ini saya mau nikah, niat saya ingin daftar online dari sekarang untuk meminimalisir juga supaya tidak terburu buru di akhir. saya coba searching terkait info daftar online di simnikah. sudah dapat bahkan saya sudah menyiapkan dokumen untuk pembuatan surat pengantar ke keluarahan untuk menjadi proses di kua saat mengajukan pembuatan na, namun setelah saya berdiskusi dengan staff kua yg menjabat sebagai amil nya, ko bisa ya biaya menikah saya menjadi 1.200? padahal saat saya melihag informasi di website kalau ke rumah hanya 600ribu. bahkan saya sudah mencoba berdiskusi via telfon. untuk membicarakan pendaftaran online tp mendapat jawaban yg kurang baik, niat saya ingin daftar online karena kebetulan saya dan calon suami bekerja diluar kota tempat saya tinggal, dan meminimalisir keuangan juga. tp ko ini malah di uang kan ya? bahkan saya bilang mau daftar online pun dia menjawab tidak bisa, dan kalau saya mau daftar online dia juga menjawab saya nikah nya akan online juga. mohon bantuan dan juga tindakan nya juga. saya ingin mendaftar di kua pamulihan karena kebetulan saya tinggal disana","  RABU, 2025/06/04 |   PERNIKAHAN |   LAPORAN 8 KALI DILIHAT",https://www.lapor.go.id/laporan/detil/daftar-online-kua-202506042143091749048189236,kak mohon izin menyampaikan dan menjelaskan untun agustus ini saya mau nikah niat saya ingin daftar online dari sekarang untuk meminimalisir juga supaya tidak terburu buru di akhir saya coba searching terkait info daftar online di simnikah sudah dapat bahkan saya sudah menyiapkan dokumen untuk pembuatan surat pengantar ke keluarahan untuk menjadi proses di kua saat mengajukan pembuatan na namun setelah saya berdiskusi dengan staff kua yang menjabat sebagai amil nya ko bisa ya biaya menikah saya menjadi padahal saat saya melihag informasi di website kalau ke rumah hanya ribu bahkan saya sudah mencoba berdiskusi via telfon untuk membicarakan pendaftaran online tp mendapat jawaban yang kurang baik niat saya ingin daftar online karena kebetulan saya dan calon suami bekerja diluar kota tempat saya tinggal dan meminimalisir keuangan juga tp ko ini malah di uang kan ya bahkan saya bilang mau daftar online pun dia menjawab tidak bisa dan kalau saya mau daftar online dia juga menjawab saya nikah nya akan online juga mohon bantuan dan juga tindakan nya juga saya ingin mendaftar di kua pamulihan karena kebetulan saya tinggal disana,daftar online kua,daftar online kua kak mohon izin menyampaikan dan menjelaskan untun agustus ini saya mau nikah niat saya ingin daftar online dari sekarang untuk meminimalisir juga supaya tidak terburu buru di akhir saya coba searching terkait info daftar online di simnikah sudah dapat bahkan saya sudah menyiapkan dokumen untuk pembuatan surat pengantar ke keluarahan untuk menjadi proses di kua saat mengajukan pembuatan na namun setelah saya berdiskusi dengan staff kua yang menjabat sebagai amil nya ko bisa ya biaya menikah saya menjadi padahal saat saya melihag informasi di website kalau ke rumah hanya ribu bahkan saya sudah mencoba berdiskusi via telfon untuk membicarakan pendaftaran online tp mendapat jawaban yang kurang baik niat saya ingin daftar online karena kebetulan saya dan calon suami bekerja diluar kota tempat saya tinggal dan meminimalisir keuangan juga tp ko ini malah di uang kan ya bahkan saya bilang mau daftar online pun dia menjawab tidak bisa dan kalau saya mau daftar online dia juga menjawab saya nikah nya akan online juga mohon bantuan dan juga tindakan nya juga saya ingin mendaftar di kua pamulihan karena kebetulan saya tinggal disana,LOW,,,
Perekrutan Kerja Uptd Damkar Conggeang,Telah terjadi perekrutan pegawai pada tahun 2024 di uptd pemadam kebakaran (conggeang) dengan membayar uang 10-15 juta perorang dengan di iming-imingi honor dan bisa ikut seleksi pppk oleh oknum pegawai damkar conggeang. sempat bekerja sampai bulan april 2025 namun tidak ada kejelasan sampai saat ini.,"  MINGGU, 2024/12/01 |   SP4N-LAPOR! |   LAPORAN 33 KALI DILIHAT",https://www.lapor.go.id/laporan/detil/perekrutan-kerja-uptd-damkar-conggeang-202509081837231757331443211,telah terjadi perekrutan pegawai pada tahun di uptd pemadam kebakaran conggeang dengan membayar uang juta perorang dengan di iming imingi honor dan bisa ikut seleksi ppk oleh oknum pegawai damkar conggeang sempat bekerja sampai bulan april namun tidak ada kejelasan sampai saat ini,perekrutan kerja uptd damkar conggeang,perekrutan kerja uptd damkar conggeang telah terjadi perekrutan pegawai pada tahun di uptd pemadam kebakaran conggeang dengan membayar uang juta perorang dengan di iming imingi honor dan bisa ikut seleksi ppk oleh oknum pegawai damkar conggeang sempat bekerja sampai bulan april namun tidak ada kejelasan sampai saat ini,MEDIUM,,,
Uang Paguyuban,"Saya mau tanya kalau sekolah dasar negeri apakah diwajibkan kepada setiap siswanya untuk membayar uang paguyuban,dan peruntukkan uang paguyuban itu buat apa kalau untuk sekolah negeri,bukankan sekolah negeri tidak bayar apa apa lagi, ini bayar 5rb rupiah per bulan,kasian kalau ada warga yang tidak bisa membayar, boro boro buat bayar kayak gtu, untuk sehari hari aja dari mana, dan juga siswa ada pembayaran infak buat baznas tiap minggu 2rb per siswa, kalau yang namnya infak bukan tiap minggukan, tapi seikhlasnya, ini udah di patok 2rb, mungkin sekolah sekolah lain juga yang ada di kabupaten sumedang ada yang sama kejadiannya kayak gini. mohon atensinya Lokasi Kejadian KABUPATEN SUMEDANG | SUMEDANG UTARA | JATIHURIP | Sd negeri sindang 2 jatihurip sumedang utara kab sumedang, Kewenangan Pemerintah KABUPATEN SUMEDANG","  SELASA, 2024/12/10 |   PUNGUTAN LIAR |   LAPORAN 2 KALI DILIHAT",https://www.lapor.go.id/laporan/detil/uang-paguyuban-202412110918201733883500428,saya mau tanya kalau sekolah dasar negeri apakah diwajibkan kepada setiap siswanya untuk membayar uang paguyuban dan peruntukkan uang paguyuban itu buat apa kalau untuk sekolah negeri bukankan sekolah negeri tidak bayar apa apa lagi ini bayar rb rupiah per bulan kasian kalau ada warga yang tidak bisa membayar boro boro buat bayar kayak gtu untuk sehari hari aja dari mana dan juga siswa ada pembayaran infak buat baznas tiap minggu rb per siswa kalau yang namnya infak bukan tiap minggukan tapi seikhlasnya ini udah di patok rb mungkin sekolah sekolah lain juga yang ada di kabupaten sumedang ada yang sama kejadiannya kayak gini mohon atensinya lokasi kejadian kabupaten sumedang sumedang utara jatihurip sd negeri sindang jatihurip sumedang utara kab sumedang kewenangan pemerintah kabupaten sumedang,uang paguyuban,uang paguyuban saya mau tanya kalau sekolah dasar negeri apakah diwajibkan kepada setiap siswanya untuk membayar uang paguyuban dan peruntukkan uang paguyuban itu buat apa kalau untuk sekolah negeri bukankan sekolah negeri tidak bayar apa apa lagi ini bayar rb rupiah per bulan kasian kalau ada warga yang tidak bisa membayar boro boro buat bayar kayak gtu untuk sehari hari aja dari mana dan juga siswa ada pembayaran infak buat baznas tiap minggu rb per siswa kalau yang namnya infak bukan tiap minggukan tapi seikhlasnya ini udah di patok rb mungkin sekolah sekolah lain juga yang ada di kabupaten sumedang ada yang sama kejadiannya kayak gini mohon atensinya lokasi kejadian kabupaten sumedang sumedang utara jatihurip sd negeri sindang jatihurip sumedang utara kab sumedang kewenangan pemerintah kabupaten sumedang,LOW,,,
Pengaduan Untuk Peninjauan Nilai Pajak Kendaraan,"Nama lengkap: sendi lenora
nik: 3211112809860003
no. polisi kendaraan: z 1258 cn
e-mail: sendi.lenora@gmail.com
pengaduan/saran:
selamat siang, mohon peninjauan kembali untuk nominal pembayaran pajak kendaraan saya corolla altis tahun 2005 denga nopol z 1258 cn, dimana nilai pembayaran pajak rp. 2.879.000, apakah pihak dari bapeda atau samsat tidak update terkait nilai jual objek pajak? dimana mempengaruhi nilai pajak yang harus saya bayar, dengan kendaraan tua yang sudah hampir 20 tahun, nominal pajaknya masih sangat besar, dan ini saya compare juga dengan kendaraan yang sama dan tahun yang sama dengan provinsi tetangga atau sama sama jawa barat dgn kabupaten berbeda, knp nilainya jg masih lebih besar pajak kendaraan saya? mohon bantuan informasi dan penjelasannya.

dan apakah terkait hal tsb saya bisa melakukan usulan perubahan? kasihan untuk warga yang memang benar benar bayar pajak tapi merasa tidak adil.",PAJAK DAERAH |   LAPORAN 12 KALI DILIHAT,https://www.lapor.go.id/laporan/detil/pengaduan-untuk-peninjauan-nilai-pajak-kendaraan-202310301159221698641962146,nama lengkap sendi lenora nik no polisi kendaraan z cn e mail sendi lenora gmail com pengaduan saran selamat siang mohon peninjauan kembali untuk nominal pembayaran pajak kendaraan saya corolla altis tahun denga nopol z cn dimana nilai pembayaran pajak rp apakah pihak dari bapeda atau samsat tidak update terkait nilai jual objek pajak dimana mempengaruhi nilai pajak yang harus saya bayar dengan kendaraan tua yang sudah hampir tahun nominal pajaknya masih sangat besar dan ini saya compare juga dengan kendaraan yang sama dan tahun yang sama dengan provinsi tetangga atau sama sama jawa barat dengan kabupaten berbeda knp nilainya jg masih lebih besar pajak kendaraan saya mohon bantuan informasi dan penjelasannya dan apakah terkait hal tsb saya bisa melakukan usulan perubahan kasihan untuk warga yang memang benar benar bayar pajak tapi merasa tidak adil,pengaduan untuk peninjauan nilai pajak kendaraan,pengaduan untuk peninjauan nilai pajak kendaraan nama lengkap sendi lenora nik no polisi kendaraan z cn e mail sendi lenora gmail com pengaduan saran selamat siang mohon peninjauan kembali untuk nominal pembayaran pajak kendaraan saya corolla altis tahun denga nopol z cn dimana nilai pembayaran pajak rp apakah pihak dari bapeda atau samsat tidak update terkait nilai jual objek pajak dimana mempengaruhi nilai pajak yang harus saya bayar dengan kendaraan tua yang sudah hampir tahun nominal pajaknya masih sangat besar dan ini saya compare juga dengan kendaraan yang sama dan tahun yang sama dengan provinsi tetangga atau sama sama jawa barat dengan kabupaten berbeda knp nilainya jg masih lebih besar pajak kendaraan saya mohon bantuan informasi dan penjelasannya dan apakah terkait hal tsb saya bisa melakukan usulan perubahan kasihan untuk warga yang memang benar benar bayar pajak tapi merasa tidak adil,LOW,,,
Pencetakan KTP,"Kenapa pencetakan KTP tidak bisa dilakukan di Kecamatan dan harus selalu ke Disduk di Sumedang, sedangkan jarak dari rumah ke sumedang cukup jauh",,https://www.lapor.go.id/laporan/detil/pencetakan-ktp-202509081340381757313638334,kenapa pencetakan ktp tidak bisa dilakukan di kecamatan dan harus selalu ke disduk di sumedang sedangkan jarak dari rumah ke sumedang cukup jauh,pencetakan ktp,pencetakan ktp kenapa pencetakan ktp tidak bisa dilakukan di kecamatan dan harus selalu ke disduk di sumedang sedangkan jarak dari rumah ke sumedang cukup jauh,LOW,,,
Bangunin Sahur Yang Meresahkan!!!,"Tolong ya ini lokasi di Kelurahan Talun, Kecamatan Sumedang Utara Kabupaten Sumedang.

Tolong ini ditindak ditiadakan!!!
bangunin sahur berisiknya minta ampun, ditambah ini masih pukul 02.00 yang mana orang orang lagi istirahat!!! sahur itu jam 3-4 masih jauh dari jam 2. Untuk orang kaya saya yang punya gangguan tidur ini bener bener sangat mengganggu, saya muslim, saya sahur dan puasa tapi gausah gini cara bangunin sahurnya gapunya etika sekali!!! saya lebih baik dibangunin sama ngaji ngajian dari mesjid, inituh gak jelas bener bener gak jelas apaan kaya dangdutan ditambah ada orang teriak teriak kaya joget joget duh tolong ya saya warga baru disini tp saya gamau juga kualitas tidur saya jadi rusak karna selalu terbangun sama yang berisik ini. apasih faedahnya??????

saya bakal spam laporan kalo ini tidak ditindaklanjut oleh pemerintah setempat!!!!!","  SENIN, 2024/03/25 |   TOPIK LAINNYA |   LAPORAN 8 KALI DILIHAT",https://www.lapor.go.id/laporan/detil/bangunin-sahur-yg-meresahkan--202403260301101711396870944,tolong ya ini lokasi di kelurahan talun kecamatan sumedang utara kabupaten sumedang tolong ini ditindak ditiadakan bangunin sahur berisiknya minta ampun ditambah ini masih pukul yang mana orang orang lagi istirahat sahur itu jam masih jauh dari jam untuk orang kaya saya yang punya gangguan tidur ini bener bener sangat mengganggu saya muslim saya sahur dan puasa tapi gausah gini cara bangunin sahurnya gapunya etika sekali saya lebih baik dibangunin sama ngaji ngajian dari mesjid inituh gak jelas bener bener gak jelas apaan kaya dangdutan ditambah ada orang teriak teriak kaya joget joget duh tolong ya saya warga baru disini tp saya gamau juga kualitas tidur saya jadi rusak karna selalu terbangun sama yang berisik ini apasih faedahnya saya bakal spam laporan kalo ini tidak ditindaklanjut oleh pemerintah setempat,bangunin sahur yang meresahkan,bangunin sahur yang meresahkan tolong ya ini lokasi di kelurahan talun kecamatan sumedang utara kabupaten sumedang tolong ini ditindak ditiadakan bangunin sahur berisiknya minta ampun ditambah ini masih pukul yang mana orang orang lagi istirahat sahur itu jam masih jauh dari jam untuk orang kaya saya yang punya gangguan tidur ini bener bener sangat mengganggu saya muslim saya sahur dan puasa tapi gausah gini cara bangunin sahurnya gapunya etika sekali saya lebih baik dibangunin sama ngaji ngajian dari mesjid inituh gak jelas bener bener gak jelas apaan kaya dangdutan ditambah ada orang teriak teriak kaya joget joget duh tolong ya saya warga baru disini tp saya gamau juga kualitas tidur saya jadi rusak karna selalu terbangun sama yang berisik ini apasih faedahnya saya bakal spam laporan kalo ini tidak ditindaklanjut oleh pemerintah setempat,LOW,,,
